teamString,teamName,teamNum
Atlanta,Atlanta,1
Atlanta Hawks,Atlanta,1
Boston,Boston,2
Boston Celtics,Boston,2
Brooklyn,Brooklyn,3
Brooklyn Nets,Brooklyn,3
Charlotte,Charlotte,4
Charlotte Hornets,Charlotte,4
Chicago,Chicago,5
Chicago Bulls,Chicago,5
Cleveland,Cleveland,6
Cleveland Cavaliers,Cleveland,6
Dallas,Dallas,7
Dallas Mavericks,Dallas,7
Denver,Denver,8
Denver Nuggets,Denver,8
Detroit,Detroit,9
Detroit Pistons,Detroit,9
Golden State,Golden State,10
Golden State Warriors,Golden State,10
Houston,Houston,11
Houston Rockets,Houston,11
Indiana,Indiana,12
Indiana Pacers,Indiana,12
LA,LA Clippers,13
L.A. Clippers,LA Clippers,13
Los Angeles Clippers,LA Clippers,13
LA Clippers,LA Clippers,13
L.A. Lakers,LA Lakers,14
Los Angeles Lakers,LA Lakers,14
Memphis,Memphis,15
Memphis Grizzlies,Memphis,15
Miami,Miami,16
Miami Heat,Miami,16
Milwaukee,Milwaukee,17
Milwaukee Bucks,Milwaukee,17
Minnesota,Minnesota,18
Minnesota Timberwolves,Minnesota,18
New Orleans,New Orleans,19
New Orleans Pelicans,New Orleans,19
New York,New York,20
New York Knicks,New York,20
Oklahoma City,Oklahoma City,21
Oklahoma City Thunder,Oklahoma City,21
Orlando,Orlando,22
Orlando Magic,Orlando,22
Philadelphia,Philadelphia,23
Philadelphia 76ers,Philadelphia,23
Phoenix,Phoenix,24
Phoenix Suns,Phoenix,24
Portland,Portland,25
Portland Trail Blazers,Portland,25
Sacramento,Sacramento,26
Sacramento Kings,Sacramento,26
San Antonio,San Antonio,27
San Antonio Spurs,San Antonio,27
Toronto,Toronto,28
Toronto Raptors,Toronto,28
Utah,Utah,29
Utah Jazz,Utah,29
Washington,Washington,30
Washington Wizards,Washington,30
